Year-Month,Country,Num_of_Qualified_Advertisers
2025-01,Argentina,110.97273209540688
2025-02,Argentina,71.70879746959534
2025-03,Argentina,35.9768470712448
2025-04,Argentina,72.85668905693585
2025-05,Argentina,49.484488333559646
2025-06,Argentina,-10.513306326479412
2025-07,Argentina,33.483812533293374
2025-08,Argentina,54.290592954099985
2025-09,Argentina,80.08845815988772
2025-10,Argentina,63.29988234641239
2025-11,Argentina,60.250973309314084
2025-12,Argentina,87.74622309754086
2025-01,Australia,313.28091323815005
2025-02,Australia,297.3267983715815
2025-03,Australia,377.5021749634151
2025-04,Australia,360.3787663814936
2025-05,Australia,354.9894978071572
2025-06,Australia,353.19447476762866
2025-07,Australia,320.81149035790645
2025-08,Australia,315.7007537505565
2025-09,Australia,392.88005060346876
2025-10,Australia,547.9327887194441
2025-11,Australia,606.2973391126344
2025-12,Australia,504.2453338917136
2025-01,Brazil,376.8914475011396
2025-02,Brazil,382.67999745724404
2025-03,Brazil,495.21209283973366
2025-04,Brazil,443.67742883057815
2025-05,Brazil,468.32522402780165
2025-06,Brazil,408.73342385912207
2025-07,Brazil,385.50884577947664
2025-08,Brazil,402.7675438739833
2025-09,Brazil,441.9923530760677
2025-10,Brazil,635.7529574753273
2025-11,Brazil,649.6548457251266
2025-12,Brazil,597.7666055233118
2025-01,Canada,374.6150697575879
2025-02,Canada,351.1255429035592
2025-03,Canada,318.3015048472114
2025-04,Canada,338.64118476211775
2025-05,Canada,351.34429637767425
2025-06,Canada,256.0049213992605
2025-07,Canada,295.3172554440932
2025-08,Canada,298.06787290553603
2025-09,Canada,366.8418500375685
2025-10,Canada,495.0629577647742
2025-11,Canada,509.3550680688637
2025-12,Canada,510.3480738244557
2025-01,China,415.1111540904137
2025-02,China,385.765217478782
2025-03,China,471.256078349673
2025-04,China,442.0392912630665
2025-05,China,465.54815998079914
2025-06,China,437.51691717478076
2025-07,China,404.6925472785024
2025-08,China,381.14161588896553
2025-09,China,449.9028349710934
2025-10,China,661.813139259893
2025-11,China,718.5237869512896
2025-12,China,634.6835093772365
2025-01,France,407.43364579064604
2025-02,France,432.14162220450544
2025-03,France,286.21056451968167
2025-04,France,213.77051312952105
2025-05,France,335.8314156624506
2025-06,France,63.35306145236913
2025-07,France,261.1778718200868
2025-08,France,293.849786068714
2025-09,France,370.731510909687
2025-10,France,384.4136369343524
2025-11,France,449.90300803859395
2025-12,France,489.2590532334063
2025-01,Germany,400.6323023229832
2025-02,Germany,361.15004270493404
2025-03,Germany,401.47997724712155
2025-04,Germany,441.4176270823773
2025-05,Germany,386.157425965224
2025-06,Germany,405.0577920861396
2025-07,Germany,383.0752757715425
2025-08,Germany,360.9186595890736
2025-09,Germany,438.48216207580975
2025-10,Germany,598.6283583587739
2025-11,Germany,670.6439450748297
2025-12,Germany,576.2786334927208
2025-01,India,1059.0171502670717
2025-02,India,988.0917258142058
2025-03,India,1247.9327861848383
2025-04,India,1107.1707774516701
2025-05,India,1091.4028044169986
2025-06,India,1099.5487330390704
2025-07,India,1030.3167641012742
2025-08,India,986.5234933572502
2025-09,India,1119.4276058014088
2025-10,India,1582.0186640410634
2025-11,India,1797.7311540986661
2025-12,India,1452.7655674302391
2025-01,Indonesia,139.18742583425075
2025-02,Indonesia,113.36081614886218
2025-03,Indonesia,137.81931964713837
2025-04,Indonesia,112.39247682633834
2025-05,Indonesia,149.27422400031762
2025-06,Indonesia,130.56219418715216
2025-07,Indonesia,133.02137078243896
2025-08,Indonesia,133.87280746459538
2025-09,Indonesia,147.27469039844704
2025-10,Indonesia,203.98948155301588
2025-11,Indonesia,214.79436678832502
2025-12,Indonesia,171.36811655487477
2025-01,Italy,378.2786822165338
2025-02,Italy,348.349323598941
2025-03,Italy,415.4725455973889
2025-04,Italy,378.27490731087664
2025-05,Italy,343.3228648950656
2025-06,Italy,365.427846059348
2025-07,Italy,409.9716351065548
2025-08,Italy,341.63720615973784
2025-09,Italy,364.6581977334784
2025-10,Italy,598.1579663457829
2025-11,Italy,622.5056584892641
2025-12,Italy,554.3933101616997
2025-01,Japan,465.1576699779797
2025-02,Japan,434.15647912887806
2025-03,Japan,604.8401859490359
2025-04,Japan,509.2614091210296
2025-05,Japan,490.8627801860987
2025-06,Japan,538.3430376382723
2025-07,Japan,500.4225778329808
2025-08,Japan,446.3172045533569
2025-09,Japan,521.7327730166783
2025-10,Japan,772.8801103886485
2025-11,Japan,845.4180806801364
2025-12,Japan,726.3332190595784
2025-01,Mexico,284.0710444921406
2025-02,Mexico,280.300034933083
2025-03,Mexico,388.5670204735015
2025-04,Mexico,327.3972347270014
2025-05,Mexico,352.2083262993439
2025-06,Mexico,352.2648696307072
2025-07,Mexico,305.9229314800973
2025-08,Mexico,262.13525151984027
2025-09,Mexico,358.8578137157238
2025-10,Mexico,540.3172044700273
2025-11,Mexico,580.0226089544635
2025-12,Mexico,444.47160351259754
2025-01,Poland,333.6529436392919
2025-02,Poland,268.9048234392478
2025-03,Poland,139.4067895356761
2025-04,Poland,236.0364810891927
2025-05,Poland,223.07187129724974
2025-06,Poland,83.42818509771041
2025-07,Poland,188.11386689823792
2025-08,Poland,231.92678015652695
2025-09,Poland,295.75662441535883
2025-10,Poland,339.9316648705271
2025-11,Poland,303.05025924061243
2025-12,Poland,359.6737407052481
2025-01,South Africa,290.7309480559872
2025-02,South Africa,273.3333851220089
2025-03,South Africa,187.4861816580688
2025-04,South Africa,219.93539256448796
2025-05,South Africa,162.98197468679095
2025-06,South Africa,80.88704221831523
2025-07,South Africa,211.29067660092937
2025-08,South Africa,216.76082260659905
2025-09,South Africa,315.39545126845087
2025-10,South Africa,302.6531159353761
2025-11,South Africa,273.15611950186576
2025-12,South Africa,295.01871000892095
2025-01,South Korea,280.1559360792786
2025-02,South Korea,228.1901727217285
2025-03,South Korea,302.19759081203125
2025-04,South Korea,268.3744604118147
2025-05,South Korea,264.2567372479977
2025-06,South Korea,280.03757833316445
2025-07,South Korea,259.2694173923826
2025-08,South Korea,215.75699456601362
2025-09,South Korea,284.7830017056702
2025-10,South Korea,431.0774089339978
2025-11,South Korea,438.59969761399816
2025-12,South Korea,401.8112530085316
2025-01,Spain,359.8595750300568
2025-02,Spain,361.61888503970226
2025-03,Spain,230.75756215732264
2025-04,Spain,271.1713537815988
2025-05,Spain,291.92480924145514
2025-06,Spain,118.1586159718319
2025-07,Spain,245.9731905425282
2025-08,Spain,258.1687036068213
2025-09,Spain,402.77089669990227
2025-10,Spain,396.408748000844
2025-11,Spain,318.4280443913997
2025-12,Spain,470.8102517483688
2025-01,Thailand,100.47954764251072
2025-02,Thailand,123.82959585002213
2025-03,Thailand,89.6436857352867
2025-04,Thailand,85.77294647365895
2025-05,Thailand,101.77424235657337
2025-06,Thailand,75.3168707489379
2025-07,Thailand,94.03576922057655
2025-08,Thailand,78.37028335026756
2025-09,Thailand,116.70053466127409
2025-10,Thailand,136.70026607671846
2025-11,Thailand,130.25065519384648
2025-12,Thailand,118.45437960010095
2025-01,Turkey,214.51123406415513
2025-02,Turkey,211.4773720833432
2025-03,Turkey,110.81826114878729
2025-04,Turkey,168.46809651147353
2025-05,Turkey,141.3264500922336
2025-06,Turkey,26.29326659828473
2025-07,Turkey,140.04048452298827
2025-08,Turkey,163.03949495629757
2025-09,Turkey,259.71320702862295
2025-10,Turkey,227.23152482654854
2025-11,Turkey,148.64497005299037
2025-12,Turkey,213.44077239317727
2025-01,UAE,57.14305648461862
2025-02,UAE,45.522598531941206
2025-03,UAE,78.78459561527754
2025-04,UAE,70.12423398828028
2025-05,UAE,61.29931472445847
2025-06,UAE,65.7394167190042
2025-07,UAE,58.98921882457284
2025-08,UAE,66.9938796223088
2025-09,UAE,85.79263425828569
2025-10,UAE,108.97997966640466
2025-11,UAE,137.27081743980997
2025-12,UAE,101.06741547718973
2025-01,UK,462.7623568880329
2025-02,UK,423.68321671271974
2025-03,UK,500.4828441915851
2025-04,UK,443.2769447178198
2025-05,UK,419.00790154480313
2025-06,UK,461.86333453619466
2025-07,UK,448.3577199211143
2025-08,UK,425.31703694256004
2025-09,UK,480.6407403443197
2025-10,UK,664.955286846302
2025-11,UK,753.8985655401309
2025-12,UK,663.9584513375739
2025-01,USA,944.1670823284994
2025-02,USA,938.5610597142207
2025-03,USA,1123.8369908658667
2025-04,USA,1012.8215015409689
2025-05,USA,1004.4695049318964
2025-06,USA,1067.9414349342842
2025-07,USA,970.5500307780427
2025-08,USA,954.8707672578096
2025-09,USA,1027.1004517089343
2025-10,USA,1549.7366272823856
2025-11,USA,1628.1525837577594
2025-12,USA,1428.9792936156803
2025-01,Vietnam,526.9544367763174
2025-02,Vietnam,490.2973008810704
2025-03,Vietnam,293.2545016178069
2025-04,Vietnam,285.23926736025015
2025-05,Vietnam,321.3331576164238
2025-06,Vietnam,52.73258643316174
2025-07,Vietnam,238.0869991754827
2025-08,Vietnam,273.9280595736277
2025-09,Vietnam,423.41214650187294
2025-10,Vietnam,389.86712455438357
2025-11,Vietnam,430.7317463864747
2025-12,Vietnam,455.81288289797175
