Country,Forecasted_Projected_Annual_Budget,ROI,Allocated_Budget
Argentina,32094758.309102006,0.0,0.0
Australia,416661158.8817719,0.0,0.0
Brazil,766746627.0542043,0.18,0.0
Canada,729499516.7193975,0.0,0.0
China,1027210423.4280192,0.0,0.0
France,549054243.544914,0.0,0.0
Germany,834384422.7167785,0.1,0.0
India,1440759823.3976784,0.2,10000000.0
Indonesia,99854860.93473238,0.0,0.0
Italy,334205114.75152063,0.0,0.0
Japan,738703188.5297672,0.0,0.0
Mexico,265049284.640344,0.0,0.0
Poland,89454955.1041902,0.0,0.0
South Africa,64396499.25106422,0.0,0.0
South Korea,257788457.6822402,0.0,0.0
Spain,168987678.6377248,0.0,0.0
Thailand,19541246.794347767,0.0,0.0
Turkey,63514294.21003304,0.0,0.0
UAE,7893292.753616414,0.0,0.0
UK,951793908.3469763,0.12,0.0
USA,2501055990.2585735,0.15,0.0
Vietnam,173580683.96256527,0.0,0.0
